Floss#,Description,Red,Green,Blue,RGB code
1,None,,,,fdfbff
2,None,,,,fafafa
6,None,,,,fbbba7
8,None,,,,f8a597
9,None,,,,f48a7d
10,None,,,,e15a52
11,None,,,,e13e29
13,None,,,,b21012
19,None,,,,a4002b
20,None,,,,790c14
22,None,,,,59091f
23,None,,,,fbbec3
24,None,,,,faa6ab
25,None,,,,f49aa9
26,None,,,,f56988
27,None,,,,f56988
28,None,,,,ef3b58
29,None,,,,cc0a22
31,None,,,,f77c8a
33,None,,,,f85a65
35,None,,,,ea3138
36,None,,,,f5939e
38,None,,,,e13a5f
39,None,,,,b11520
40,None,,,,f15981
41,None,,,,da3b5f
42,None,,,,b40a3e
43,None,,,,7d1428
44,None,,,,610021
45,None,,,,5f0f14
46,None,,,,d3050d
47,None,,,,ac0023
48,None,,,,f9c4ce
49,None,,,,ecb5bd
50,None,,,,f599af
51,None,,,,ffa4c2
52,None,,,,f46293
54,None,,,,e02862
55,None,,,,f279a3
57,None,,,,da1b5b
59,None,,,,a80646
60,None,,,,e99fbe
62,None,,,,eb5d8a
63,None,,,,e12068
65,None,,,,980c47
66,None,,,,e987ad
68,None,,,,c24f77
69,None,,,,96244b
70,None,,,,6a0b32
72,None,,,,550925
73,None,,,,fcc3cc
74,None,,,,f49baf
75,None,,,,f285a3
76,None,,,,d05c77
77,None,,,,b63063
78,None,,,,a81258
79,None,,,,af435d
85,None,,,,e99fc8
86,None,,,,dd78b1
87,None,,,,c73784
88,None,,,,ae1164
89,None,,,,af0d64
90,None,,,,d095b3
92,None,,,,a14998
94,None,,,,83186a
95,None,,,,d7a7c9
96,None,,,,d18eb7
97,None,,,,b66aa6
98,None,,,,9f538c
99,None,,,,873876
100,None,,,,7a2862
101,None,,,,5a005c
102,None,,,,450844
103,None,,,,e3bad2
108,None,,,,c29fd0
109,None,,,,a57aaf
110,None,,,,7a52a5
111,None,,,,5d2e84
112,None,,,,542279
117,None,,,,99a9c9
118,None,,,,7978b6
119,None,,,,503682
120,None,,,,b3c5df
121,None,,,,748bb8
122,None,,,,525f91
123,None,,,,2c306a
127,None,,,,00003f
128,None,,,,c7dee9
129,None,,,,88aacb
130,None,,,,799cc6
131,None,,,,3e5f9d
132,None,,,,1.03E+87
133,None,,,,143374
134,None,,,,81764
136,None,,,,5b82ac
137,None,,,,3161a1
139,None,,,,0d3c78
140,None,,,,7fa5c8
142,None,,,,165ba4
143,None,,,,0c4386
144,None,,,,9dbdcf
145,None,,,,7191bc
146,None,,,,3870a9
147,None,,,,074d8e
148,None,,,,082d63
149,None,,,,92056
150,None,,,,152247
152,None,,,,0f1232
158,None,,,,cee9e9
159,None,,,,aacae2
160,None,,,,9ecddd
161,None,,,,4389a8
162,None,,,,0b658c
164,None,,,,94264
167,None,,,,8eccd3
168,None,,,,599ea9
169,None,,,,15718b
170,None,,,,00556c
175,None,,,,7b9dc1
176,None,,,,647da6
177,None,,,,475299
178,None,,,,2f2b67
185,None,,,,81d6c4
186,None,,,,52bfac
187,None,,,,2ba899
188,None,,,,078b81
203,None,,,,7cc08c
204,None,,,,64bb87
205,None,,,,349568
206,None,,,,a6cea4
208,None,,,,63ae80
209,None,,,,49a170
210,None,,,,287548
211,None,,,,0b6033
212,None,,,,145236
213,None,,,,baccab
214,None,,,,99b786
215,None,,,,6a8e64
216,None,,,,517c60
217,None,,,,346544
218,None,,,,154725
219,None,,,,9ad2ab
221,None,,,,488f6b
224,None,,,,4328
225,None,,,,64b55d
226,None,,,,419937
227,None,,,,1c8532
228,None,,,,0a762f
229,None,,,,076f2f
230,None,,,,02774e
231,None,,,,c0b0aa
232,None,,,,a99793
233,None,,,,826e6d
234,None,,,,cdd0cd
235,None,,,,6f7177
236,None,,,,353237
237,None,,,,91d146
238,None,,,,60ad36
239,None,,,,439c17
240,None,,,,9fcd88
241,None,,,,87c677
242,None,,,,73a85e
243,None,,,,58924a
244,None,,,,377739
245,None,,,,156817
246,None,,,,144c19
253,None,,,,cfe080
254,None,,,,c7dd63
255,None,,,,8baf22
256,None,,,,5c9619
257,None,,,,478719
258,None,,,,357316
259,None,,,,dee9a5
260,None,,,,9fb476
261,None,,,,889f72
262,None,,,,466633
263,None,,,,2b451e
264,None,,,,b5c382
265,None,,,,98b45a
266,None,,,,708b3a
267,None,,,,556f1f
268,None,,,,3a5818
269,None,,,,37461e
271,None,,,,fde2dd
273,None,,,,554d3a
274,None,,,,c7d1ca
275,None,,,,fbf1ce
276,None,,,,efd9bb
277,None,,,,7c5815
278,None,,,,cfcb67
279,None,,,,bfaf4b
280,None,,,,9b8e3e
281,None,,,,75672c
282,None,,,,bbcacb
288,None,,,,fbeb69
289,None,,,,fbe950
290,None,,,,fdd610
291,None,,,,fccd0d
292,None,,,,fceca0
293,None,,,,fce378
295,None,,,,fdd951
297,None,,,,fcd01d
298,None,,,,fbb51e
300,None,,,,f7dd9f
301,None,,,,f5d484
302,None,,,,fabd48
303,None,,,,fa9517
304,None,,,,f77b0d
305,None,,,,f9c654
306,None,,,,eda231
307,None,,,,de8e17
308,None,,,,bd6e1a
309,None,,,,ad5f26
310,None,,,,944c22
311,None,,,,f3ba71
313,None,,,,faaa55
314,None,,,,f58916
316,None,,,,fa7017
323,None,,,,f9884f
324,None,,,,ed6e32
326,None,,,,cf460f
328,None,,,,fc8e75
329,None,,,,f86e45
330,None,,,,f75d1f
332,None,,,,f6451f
333,None,,,,e62714
334,None,,,,e8130f
335,None,,,,e1090d
336,None,,,,ef9e79
337,None,,,,e28b6e
338,None,,,,ca6e58
339,None,,,,b13f28
340,None,,,,9d3022
341,None,,,,8d2419
342,None,,,,d9bedd
343,None,,,,8ca2b4
347,None,,,,d0925c
349,None,,,,aa551b
351,None,,,,8c2f18
352,None,,,,6d1815
354,None,,,,8b604c
355,None,,,,93421a
357,None,,,,742b11
358,None,,,,75371a
359,None,,,,682d12
360,None,,,,532b19
361,None,,,,eec38a
362,None,,,,e1a266
363,None,,,,e09638
365,None,,,,a96014
366,None,,,,e9c797
367,None,,,,e3b386
368,None,,,,d29a64
369,None,,,,b87243
370,None,,,,97491b
371,None,,,,823a17
372,None,,,,e3bb85
373,None,,,,c4975e
374,None,,,,a36e36
375,None,,,,885a23
376,None,,,,d7ad98
378,None,,,,a68068
379,None,,,,8d6149
380,None,,,,472117
381,None,,,,3d1d11
382,None,,,,361c11
386,None,,,,f5e7c9
387,None,,,,efdab6
388,None,,,,c9b397
390,None,,,,e5d7b8
391,None,,,,cabaa0
392,None,,,,a38b6c
393,None,,,,766139
397,None,,,,c5c1b3
398,None,,,,afb0ad
399,None,,,,929293
400,None,,,,58565a
401,None,,,,3e3a41
403,None,,,,0
406,None,,,,2
410,None,,,,0078a9
433,None,,,,00a6de
675,None,,,,004c56
676,None,,,,b29a97
677,None,,,,95776d
678,None,,,,845950
679,None,,,,995c44
681,None,,,,555733
683,None,,,,1f433a
778,None,,,,eec6ab
779,None,,,,4d787b
781,None,,,,537084
799,None,,,,9d0000
802,None,,,,f7ef95
803,None,,,,cf6100
806,None,,,,688792
815,None,,,,777068
816,None,,,,34444d
817,None,,,,3c6101
820,None,,,,d19c4e
830,None,,,,d1bf9e
831,None,,,,c6ae8a
832,None,,,,9d8360
837,None,,,,9eb4a7
838,None,,,,7d9d94
840,None,,,,3f6569
842,None,,,,c1b879
843,None,,,,8a8948
844,None,,,,817731
845,None,,,,615b20
846,None,,,,46410b
847,None,,,,d6ded7
848,None,,,,afbfba
849,None,,,,9caaab
850,None,,,,7a8b8c
851,None,,,,295056
852,None,,,,e3cf9f
853,None,,,,bea975
854,None,,,,a28d53
855,None,,,,997f43
856,None,,,,7c6a2f
858,None,,,,a3ae8f
859,None,,,,8b9570
860,None,,,,727e5b
861,None,,,,4a5937
862,None,,,,eaa68e
868,None,,,,eaa68e
869,None,,,,c4b0b9
870,None,,,,ab92a8
871,None,,,,816175
872,None,,,,744f68
873,None,,,,583147
874,None,,,,d6af5c
875,None,,,,92b69f
876,None,,,,609079
877,None,,,,417160
878,None,,,,2b5446
879,None,,,,114c38
880,None,,,,e2c0a5
881,None,,,,e9ba98
882,None,,,,dc9476
883,None,,,,bd7255
884,None,,,,9a432e
885,None,,,,f5e2b4
9575,None,,,,dc9479
9159,None,,,,b7dae4
9046,None,,,,c60019
8581,None,,,,79725e
5975,None,,,,b65245
4146,None,,,,eabaa4
3324,None,,,,fa6a19
1098,None,,,,d41829
1096,None,,,,9fb3c1
1094,None,,,,fc9ec5
1092,None,,,,99d8d2
1090,None,,,,3ea9ea
1089,None,,,,0088d3
1088,None,,,,3d2c23
1086,None,,,,5c4636
1084,None,,,,846550
1082,None,,,,9f816c
1080,None,,,,c8a689
1076,None,,,,7265
1074,None,,,,8373
1072,None,,,,309c84
1070,None,,,,54ac99
1068,None,,,,4457
1066,None,,,,1b576a
1064,None,,,,4b8297
1062,None,,,,6392a1
1060,None,,,,9ec6cd
1050,None,,,,694228
1049,None,,,,ae5023
1048,None,,,,d46b34
1047,None,,,,f39f64
1046,None,,,,ac641f
1045,None,,,,ca874c
1044,None,,,,173d13
1043,None,,,,cee5ad
1042,None,,,,bfdac0
1041,None,,,,3c362b
1040,None,,,,888170
1039,None,,,,579cb1
1038,None,,,,8bbdc7
1037,None,,,,deebec
1036,None,,,,233856
1035,None,,,,2d3f54
1034,None,,,,5d758c
1033,None,,,,8da1b4
1032,None,,,,abc2cf
1031,None,,,,c9dce3
1030,None,,,,7363a6
1029,None,,,,86103d
1028,None,,,,7c1c41
1027,None,,,,bc595e
1026,None,,,,f7cec4
1025,None,,,,ad1123
1024,None,,,,c65656
1023,None,,,,d66b71
1022,None,,,,e4847d
1021,None,,,,e9aba5
1020,None,,,,f1beb6
1019,None,,,,863f50
1018,None,,,,9c5965
1017,None,,,,be7b8e
1016,None,,,,d39ba7
1015,None,,,,900911
1014,None,,,,9e1f21
1013,None,,,,c6705e
1012,None,,,,f5c0a6
1011,None,,,,f8dcc6
1010,None,,,,fdd9b4
1009,None,,,,f7dcc2
1008,None,,,,cf9278
1007,None,,,,a05945
1006,None,,,,9b0018
1005,None,,,,8d0821
1004,None,,,,a53d14
1003,None,,,,dd6c36
1002,None,,,,ed8b1d
1001,None,,,,d26c10
979,None,,,,185073
978,None,,,,467196
977,None,,,,6189aa
976,None,,,,8dacb9
975,None,,,,aac5cb
972,None,,,,8a3059
970,None,,,,ab5d74
969,None,,,,ce8f94
968,None,,,,e5acaa
956,None,,,,d1bf8b
945,None,,,,bea558
944,None,,,,854e1c
943,None,,,,c99d57
942,None,,,,eac381
941,None,,,,3c477d
940,None,,,,3c5090
939,None,,,,7982a9
936,None,,,,7f3d26
933,None,,,,f0cfb3
928,None,,,,aad9df
926,None,,,,f9edd2
925,None,,,,e95207
924,None,,,,5e590e
923,None,,,,005d30
922,None,,,,41596a
921,None,,,,567080
920,None,,,,728d9e
914,None,,,,c17b5d
907,None,,,,b68b28
906,None,,,,6a480d
905,None,,,,41321c
904,None,,,,5f4d31
903,None,,,,897050
901,None,,,,b67a27
900,None,,,,a9a995
899,None,,,,b29b7e
898,None,,,,876b3e
897,None,,,,701a24
896,None,,,,a2424f
895,None,,,,d1717a
894,None,,,,df9a97
893,None,,,,eeb3a7
892,None,,,,f3d3c5
891,None,,,,eabd6f
890,None,,,,d1943f
889,None,,,,6f4b1a
888,None,,,,a98038
887,None,,,,d5b471
886,None,,,,e7ce87
885,None,,,,f5e2b4
